Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_Date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-01,12850,12800,12800,12810,12790,13130,12830,12850,12760,12790,13010,16660,24750,27990,33220,32420,32230,32550,33440,35580,35470,35350,35420,35450,35810,36960,36940,36940,36910,35100,34400,34470,34470,34440,34510,38460,38740,36380,35450,35420,35450,34710,30460,24090,25440,25710,25690,25700,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-02,22530,13600,11840,11760,11820,11800,11850,11840,11820,16020,20620,20720,24460,27730,27730,25980,24560,24980,26630,26580,14490,11180,10300,10310,10310,10320,10250,10300,10250,10270,10330,10260,13790,14710,20470,29360,29280,29280,29250,27990,27600,27630,27590,27610,27660,27570,27580,27550,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-03,27740,26370,25680,25640,25910,26130,26100,26170,26210,26040,26540,26590,26770,26580,26600,26550,26240,23200,17350,13920,10960,9810,10990,10150,10250,10300,10850,10270,10350,10250,10540,10360,10300,17640,19900,33340,34370,37800,37840,37830,37710,37920,28560,25070,25110,23980,19730,12840,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-04,12850,12850,12850,12830,12830,12430,11330,11320,11310,11310,11320,11300,15500,23700,28200,32350,33070,33490,33640,33570,32910,32530,32290,32260,31050,31060,30980,22740,21090,19840,19660,19680,24320,31890,36480,37520,38780,38660,38620,38580,37920,37420,36680,35910,34050,22030,21170,21590,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-05,20910,18810,12830,12870,12890,12890,12890,12890,12890,12880,12880,12890,20470,25830,38090,38200,38210,38330,38220,38310,36530,34480,34440,33890,31470,27950,32130,34420,34220,34480,34620,34400,34480,34560,37800,38100,38100,38270,37430,34140,25780,20860,8260,10290,25640,26100,26140,26080,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-06,26030,25970,25700,25650,25670,25570,26090,26120,26130,26090,26110,26090,26090,26080,26050,26120,26100,26070,26090,26080,25970,26020,26000,26070,18790,13240,10810,8080,7850,7860,7810,7850,7850,7870,7830,7790,7830,7830,7840,7830,7870,7850,14680,24650,24620,24690,25730,25500,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-07,25580,25640,25670,25670,25580,25640,25630,25650,25650,25680,25550,25600,25630,25640,25590,25690,25600,25600,25620,25580,25610,25600,25610,13380,8830,8410,14750,18170,8330,8360,8310,8350,8370,9690,24070,34980,37070,37480,38260,31530,23580,12620,11860,11720,11300,10310,9570,9320,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-08,8960,7940,7840,7840,7850,7870,7830,7840,7840,7940,7910,7870,7810,19090,29500,35910,36540,36500,36470,30610,25610,23740,22650,24720,25550,25630,25610,25640,33860,33240,33440,32100,35430,34970,36980,38430,38200,38470,38210,38380,38310,38270,38310,38240,38310,33560,29100,19890,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-09,10300,10500,10840,10830,10360,10320,9130,8850,8270,7860,7860,7840,8080,11080,24630,36390,36980,36980,37920,37940,38260,38300,38490,38140,38840,38930,39060,38360,35320,34600,34300,36030,38350,38540,39200,39100,38860,38970,38870,38790,31320,27660,27690,26070,24810,23570,23840,23630,,
ARA,ARA 2201.00,MRPL,aratiatia,Hydro,Hydro,2023-05-10,23530,23690,22580,20110,20370,20110,18080,13840,13800,13840,13810,13690,13930,13730,13790,14810,19770,27300,27240,27030,27110,27170,27090,31800,30220,28590,28420,28460,28380,28350,28470,28480,28480,38360,38520,39590,39550,39430,39480,39480,39420,39350,39290,39010,35740,23850,22260,11830,,
